movieId,title,genres_clean,overview_clean
173,"20,000 Leagues Under the Sea",Adventure Drama Science Fiction,ship sent investigate wave mysterious sinkings encounters advanced submarine nautilus commanded captain nemo
864,Cool Runnings,Comedy,jamaican sprinter disqualified olympic games enlists help dishonored coach start first jamaican bobsled team
8367,Robin Hood: Prince of Thieves,Adventure,dastardly sheriff nottingham murders robins father legendary archer vows vengeance accomplish mission robin joins forces band exiled villagers comely maid marian together battle end evil sheriffs reign terror
433,Mary Poppins,Comedy Family Fantasy,movie combines diverting story songs color sequences live action blended movements animated figures mary poppins kind supernanny flies umbrella response request banks children proceeds put things right aid rather extraordinary magical powers flying off
562,Die Hard,Action Thriller,nypd cop john mcclanes plan reconcile estranged wife thrown serious loop minutes arrives office entire building overtaken group terrorists little help lapd wisecracking mcclane sets out singlehandedly rescue hostages bring bad guys down
454,Romeo + Juliet,Drama Romance,director baz luhrmanns contemporary take william shakespeares classic tragedy montagues capulets moved ongoing feud sweltering suburb verona beach romeo juliet fall love secretly wed though film visually modern bards dialogue remains
1834,"Murder, My Sweet",Crime Drama Mystery Thriller,detective philip marlowe hired hulking moose malloy locate old girlfriend lost track while serving time prison lead follows marlowe encounters lies larceny perjury theft beautiful femme fatale based raymond chandlers novel farewell lovely films title united kingdom
252,Willy Wonka & the Chocolate Factory,Family Fantasy,eccentric candy man willy wonka prompts worldwide frenzy announces golden tickets hidden inside five delicious candy bars admit lucky holders topsecret confectionary wonka agenda hidden amid world oompa loompas chocolate rivers
475,Bonnie and Clyde,Crime Drama,bonnie clyde based true stories gangster pair bonnie parker clyde barrow began robbing banks cities until eventually killed film major landmark aesthetic movement known new hollywood
521,Dial M for Murder,Crime Mystery Thriller,extennis pro carries out plot wife murdered discovering having affair assumes soon leave man anyway things wrong improvises new plan frame murder instead
88,Dirty Dancing,Drama Music Romance,expecting usual tedium accompanies summer catskills family yearold frances baby houseman surprised find herself stepping shoes professional hoofer unexpectedly falling love
500,Reservoir Dogs,Crime Thriller,botched robbery indicates police informant pressure mounts aftermath warehouse crime begets violence survivors veteran white newcomer orange psychopathic parolee blonde bickering weasel pink nice guy eddie unravel
8491,Weekend at Bernie's,Comedy,two friends invited weekend luxury island boss boss gets shot nobody seems notice except two friends order become suspects murder treat body puppet make people believe hes still alive killer wants job informed stiff still alive hes got shoot
2119,Days of Thunder,Adventure,talented unproven stock car driver cole trickle gets break guidance veteran harry hogge turns heads track young hotshot develops rivalry fellow racer threatens career two smash cars help doctor cole overcome injuries fear
25750,Children of the Corn IV: The Gathering,Horror,grace rhodes studying doctor returns hometown strange illness afflicting local children symptoms include high fever spasms even weirder happens next day illness claim somebody else begin murdering grownups sister undergoes same sinister metamorphosis grace comes believe connection evil cult figure returning grave
